,,,,,,,
,,,,,,,
,Date,Price,Open,High,Low,Vol.,Change %
,"Mar 03, 2025","2,882.61","2,882.06","2,888.59","2,868.90",82.35K,0.00%
,"Mar 02, 2025","2,882.47","2,867.85","2,888.15","2,867.40",0.01K,0.0119
,"Feb 28, 2025","2,848.50","2,889.00","2,896.10","2,844.10",210.56K,-1.64%
,"Feb 27, 2025","2,895.90","2,931.40","2,935.80","2,879.00",207.65K,-0.75%
,"Feb 26, 2025","2,917.80","2,915.60","2,926.40","2,891.00",2.05K,0.0041
,"Feb 25, 2025","2,906.00","2,955.90","2,955.90","2,884.50",5.59K,-1.48%
,"Feb 24, 2025","2,949.70","2,939.30","2,960.00","2,926.40",2.00K,-0.12%
,"Feb 21, 2025","2,953.20","2,955.70","2,964.70","2,930.10",163.69K,-0.10%
,"Feb 20, 2025","2,956.10","2,949.50","2,973.40","2,939.30",172.20K,0.0068
,"Feb 19, 2025","2,936.10","2,954.10","2,964.40","2,933.70",159.34K,-0.44%
,"Feb 18, 2025","2,949.00","2,895.10","2,956.50","2,887.60",218.76K,0.0167
,"Feb 14, 2025","2,900.70","2,957.30","2,964.10","2,889.90",228.08K,-1.52%
,"Feb 13, 2025","2,945.40","2,928.80","2,958.80","2,925.80",169.50K,0.0057
,"Feb 12, 2025","2,928.70","2,927.00","2,936.50","2,886.50",204.63K,-0.13%
,"Feb 11, 2025","2,932.60","2,937.00","2,968.50","2,907.00",218.48K,-0.06%
,"Feb 10, 2025","2,934.40","2,884.80","2,938.10","2,879.90",167.23K,0.0162
,"Feb 07, 2025","2,887.60","2,880.20","2,910.60","2,876.10",192.55K,0.0038
,"Feb 06, 2025","2,876.70","2,885.00","2,894.20","2,855.00",167.70K,-0.56%
,"Feb 05, 2025","2,893.00","2,873.70","2,906.00","2,870.10",167.38K,0.006
,"Feb 04, 2025","2,875.80","2,850.40","2,877.10","2,837.40",145.86K,0.0065
,"Feb 03, 2025","2,857.10","2,846.50","2,872.00","2,802.20",181.34K,0.0078
,"Jan 31, 2025","2,835.00","2,851.90","2,862.90","2,826.00",165.68K,-0.36%
,"Jan 30, 2025","2,845.20","2,796.20","2,853.20","2,794.90",188.34K,0.0229
,"Jan 29, 2025","2,781.50","2,784.90","2,790.10","2,772.80",3.98K,0.0002
,"Jan 28, 2025","2,781.00","2,757.00","2,786.90","2,752.90",3.42K,0.0104
,"Jan 27, 2025","2,752.40","2,791.00","2,791.00","2,746.80",3.94K,-1.44%
,"Jan 24, 2025","2,792.70","2,779.30","2,808.10","2,779.30",1.10K,0.0052
,"Jan 23, 2025","2,778.30","2,778.10","2,780.20","2,754.70",1.83K,-0.68%
,"Jan 22, 2025","2,797.40","2,784.50","2,800.30","2,782.50",39.59K,0.0042
,"Jan 21, 2025","2,785.60","2,766.00","2,788.40","2,741.50",56.80K,0.0134
,"Jan 17, 2025","2,748.70","2,746.80","2,759.20","2,729.20",156.87K,-0.08%
,"Jan 16, 2025","2,750.90","2,722.30","2,757.90","2,720.40",186.54K,0.0122
,"Jan 15, 2025","2,717.80","2,693.30","2,722.70","2,685.40",193.72K,0.0132
,"Jan 14, 2025","2,682.30","2,682.00","2,693.70","2,672.00",179.41K,0.0014
,"Jan 13, 2025","2,678.60","2,716.80","2,723.80","2,675.20",211.09K,-1.34%
,"Jan 10, 2025","2,715.00","2,692.90","2,735.00","2,686.90",298.41K,0.009
,"Jan 09, 2025","2,690.80","2,679.90","2,696.80","2,673.70",156.65K,0.0069
,"Jan 08, 2025","2,672.40","2,662.90","2,687.00","2,658.40",197.37K,0.0026
,"Jan 07, 2025","2,665.40","2,647.10","2,678.50","2,643.50",161.62K,0.0068
,"Jan 06, 2025","2,647.40","2,652.80","2,663.80","2,624.60",169.92K,-0.27%
,"Jan 03, 2025","2,654.70","2,671.10","2,681.00","2,649.70",121.17K,-0.54%
,"Jan 02, 2025","2,669.00","2,641.00","2,674.20","2,636.10",144.52K,0.0106
,"Dec 31, 2024","2,641.00","2,620.00","2,642.00","2,614.30",86.29K,0.0087
,"Dec 30, 2024","2,618.10","2,636.10","2,640.70","2,608.40",110.92K,-0.01%
,"Dec 27, 2024","2,618.40","2,639.70","2,639.70","2,612.10",0.64K,-0.83%
,"Dec 26, 2024","2,640.30","2,623.30","2,642.40","2,622.80",1.40K,0.0067
,"Dec 24, 2024","2,622.80","2,616.50","2,622.70","2,612.50",0.42K,0.0028
,"Dec 23, 2024","2,615.50","2,627.30","2,632.90","2,610.20",0.56K,-0.65%
