Date,Change pts,NIFTY_Change%,Change FDI,Change% FDI,Net Net
2025-02-28,-420.34999999999854,-1.86,-500.9400000000012,-42.795267182093994,669.6099999999988
2025-02-27,-2.5,-0.01,1668.8699999999997,-334.899261518703,1170.55
2025-02-25,-5.799999999999272,-0.03,602.7300000000005,-54.74138322510335,-498.3199999999997
2025-02-24,-242.5500000000029,-1.06,-536.5100000000002,95.03489566726897,-1101.0500000000002
2025-02-21,-117.25,-0.51,-1160.6299999999997,-194.7071750910098,-564.54
2025-02-20,-19.75,-0.09,519.6499999999996,679.814233385661,596.0899999999997
2025-02-19,-12.399999999997815,-0.05,-7782.3099999999995,-99.02732622872593,76.44000000000005
2025-02-18,-14.200000000000728,-0.06,7036.8099999999995,856.122101369929,7858.75
2025-02-17,30.25,0.13,752.7600000000002,1088.1179531656505,821.9400000000005
2025-02-14,-102.15000000000146,-0.44,-75.40999999999985,-52.15436752195849,69.18000000000029
2025-02-13,-13.849999999998545,-0.06,-815.3499999999995,-84.9376002666833,144.59000000000015
2025-02-12,-26.549999999999272,-0.12,1444.4599999999996,-298.121852555106,959.9399999999996
2025-02-11,-309.7999999999993,-1.32,463.67999999999984,-48.901075722421425,-484.52
2025-02-10,-178.35000000000218,-0.76,-932.0099999999998,5756.701667696108,-948.1999999999998
2025-02-07,-43.39999999999782,-0.18,812.0999999999999,-98.0453705827669,-16.189999999999998
2025-02-06,-92.95000000000071,-0.39,-141.74,20.64525526181633,-828.29
2025-02-05,-42.95000000000073,-0.18,-1065.08,-281.37267851953607,-686.55
2025-02-04,378.2000000000007,1.62,1628.6699999999998,-130.2790087510199,378.53000000000003
2025-02-03,-121.10000000000218,-0.52,-747.3499999999999,148.64058553272736,-1250.1399999999999
2025-02-01,-26.25,-0.11,-1546.0199999999998,-148.1955081813215,-502.78999999999996
2025-01-31,258.90000000000146,1.11,3460.29,-143.16111308780089,1043.2299999999998
2025-01-30,86.40000000000146,0.37,-1623.3400000000001,204.52300559391227,-2417.06
2025-01-29,205.84999999999852,0.9,-2687.36,-141.91504192982825,-793.7199999999998
2025-01-28,128.09999999999854,0.56,266.9500000000007,16.410625257424634,1893.6400000000003
2025-01-27,-263.0499999999993,-1.14,1982.8699999999994,-556.7044752653154,1626.6899999999996
2025-01-24,-113.14999999999782,-0.49,1393.7900000000004,-79.64650822585531,-356.17999999999984
2025-01-23,50.0,0.22,-1363.94,353.32487112400577,-1749.9700000000003
