Unnamed: 0,Date,Gross Purchase FII,Gross Sales FII,Net Purchase FII,Gross Purchase DII,Gross Sales DII,Net Purchase DII,Net Net,# Net Net,Change,Change%
37,09-Jan-2025,8537.05,15707.92,-7170.87,16727.63,9088.0,7639.63,468.7600000000002,-645.8999999999996,1114.6599999999999,-172.5747019662487
38,08-Jan-2025,9944.21,13306.39,-3362.18,14251.5,11535.22,2716.28,-645.8999999999996,123.81999999999994,-769.7199999999996,-621.6443224034889
39,07-Jan-2025,11726.68,13218.14,-1491.46,12256.43,10641.15,1615.28,123.81999999999994,3174.5899999999997,-3050.7699999999995,-96.09965381356332
40,06-Jan-2025,9817.48,12392.54,-2575.06,16412.95,10663.3,5749.65,3174.5899999999997,-3406.65,6581.24,-193.18802929564234
41,03-Jan-2025,10812.78,15040.03,-4227.25,14332.69,13512.09,820.6,-3406.65,1528.89,-4935.54,-322.8185153935208
42,02-Jan-2025,13402.85,11896.1,1506.75,14176.58,14154.44,22.14,1528.89,-92.34000000000015,1621.2300000000002,-1755.7179987004524
43,01-Jan-2025,1237.02,3019.73,-1782.71,8536.97,6846.6,1690.37,-92.34000000000015,-98.49000000000069,6.150000000000546,-6.2442887602807415
44,31-Dec-2024,5950.15,10595.37,-4645.22,13550.29,9003.56,4546.73,-98.49000000000069,280.70000000000005,-379.19000000000074,-135.08728179551147
45,30-Dec-2024,15507.56,17400.72,-1893.16,41786.62,39612.76,2173.86,280.70000000000005,1221.35,-940.6499999999999,-77.01723502681459
46,27-Dec-2024,5368.36,6691.65,-1323.29,9436.86,6892.22,2544.64,1221.35,959.4899999999998,261.8600000000001,27.29158198626356
47,26-Dec-2024,4256.31,6632.98,-2376.67,11592.43,8256.27,3336.16,959.4899999999998,365.03999999999996,594.4499999999998,162.8451676528599
48,24-Dec-2024,4932.76,7386.97,-2454.21,10514.3,7695.05,2819.25,365.03999999999996,2058.97,-1693.9299999999998,-82.27074702399744
49,23-Dec-2024,8705.49,8874.2,-168.71,11083.76,8856.08,2227.68,2058.97,-2223.4500000000003,4282.42,-192.60248712586295
