,Index Name,Date,Open,Close,Previous day,Change pts
0,NIFTY 50,03 Mar 2025,22194.55,22119.3,22124.7,-5.400000000001455
1,NIFTY 50,28 Feb 2025,22433.4,22124.7,22545.05,-420.34999999999854
2,NIFTY 50,27 Feb 2025,22568.95,22545.05,22547.55,-2.5
3,NIFTY 50,25 Feb 2025,22516.45,22547.55,22553.35,-5.799999999999272
4,NIFTY 50,24 Feb 2025,22609.35,22553.35,22795.9,-242.5500000000029
5,NIFTY 50,21 Feb 2025,22857.2,22795.9,22913.15,-117.25
6,NIFTY 50,20 Feb 2025,22821.1,22913.15,22932.9,-19.75
7,NIFTY 50,19 Feb 2025,22847.25,22932.9,22945.3,-12.399999999997817
8,NIFTY 50,18 Feb 2025,22963.65,22945.3,22959.5,-14.200000000000728
9,NIFTY 50,17 Feb 2025,22809.9,22959.5,22929.25,30.25
10,NIFTY 50,14 Feb 2025,23096.45,22929.25,23031.4,-102.15000000000146
11,NIFTY 50,13 Feb 2025,23055.75,23031.4,23045.25,-13.849999999998545
12,NIFTY 50,12 Feb 2025,23050.8,23045.25,23071.8,-26.549999999999272
13,NIFTY 50,11 Feb 2025,23383.55,23071.8,23381.6,-309.7999999999993
14,NIFTY 50,10 Feb 2025,23543.8,23381.6,23559.95,-178.35000000000218
15,NIFTY 50,07 Feb 2025,23649.5,23559.95,23603.35,-43.39999999999782
16,NIFTY 50,06 Feb 2025,23761.95,23603.35,23696.3,-92.95000000000073
17,NIFTY 50,05 Feb 2025,23801.75,23696.3,23739.25,-42.95000000000073
18,NIFTY 50,04 Feb 2025,23509.9,23739.25,23361.05,378.2000000000007
19,NIFTY 50,03 Feb 2025,23319.35,23361.05,23482.15,-121.10000000000218
20,NIFTY 50,01 Feb 2025,23528.6,23482.15,23508.4,-26.25
21,NIFTY 50,31 Jan 2025,23296.75,23508.4,23249.5,258.90000000000146
22,NIFTY 50,30 Jan 2025,23169.5,23249.5,23163.1,86.40000000000146
23,NIFTY 50,29 Jan 2025,23026.75,23163.1,22957.25,205.84999999999854
24,NIFTY 50,28 Jan 2025,22960.45,22957.25,22829.15,128.09999999999854
25,NIFTY 50,27 Jan 2025,22940.15,22829.15,23092.2,-263.0499999999993
26,NIFTY 50,24 Jan 2025,23183.9,23092.2,23205.35,-113.14999999999782
27,NIFTY 50,23 Jan 2025,23128.3,23205.35,23155.35,50.0
28,NIFTY 50,22 Jan 2025,23099.15,23155.35,23024.65,130.6999999999971
29,NIFTY 50,21 Jan 2025,23421.65,23024.65,23344.75,-320.09999999999854
30,NIFTY 50,20 Jan 2025,23290.4,23344.75,23203.2,141.54999999999927
31,NIFTY 50,17 Jan 2025,23277.1,23203.2,23311.8,-108.59999999999854
32,NIFTY 50,16 Jan 2025,23377.25,23311.8,23213.2,98.59999999999854
33,NIFTY 50,15 Jan 2025,23250.45,23213.2,23176.05,37.150000000001455
34,NIFTY 50,14 Jan 2025,23165.9,23176.05,23085.95,90.09999999999854
35,NIFTY 50,13 Jan 2025,23195.4,23085.95,23431.5,-345.5499999999993
36,NIFTY 50,10 Jan 2025,23551.9,23431.5,23526.5,-95.0
37,NIFTY 50,09 Jan 2025,23674.75,23526.5,23688.95,-162.45000000000073
38,NIFTY 50,08 Jan 2025,23746.65,23688.95,23707.9,-18.950000000000728
39,NIFTY 50,07 Jan 2025,23679.9,23707.9,23616.05,91.85000000000218
40,NIFTY 50,06 Jan 2025,24045.8,23616.05,24004.75,-388.7000000000007
41,NIFTY 50,03 Jan 2025,24196.4,24004.75,24188.65,-183.90000000000146
42,NIFTY 50,02 Jan 2025,23783.0,24188.65,23742.9,445.75
43,NIFTY 50,01 Jan 2025,23637.65,23742.9,23644.8,98.10000000000218
44,NIFTY 50,31 Dec 2024,23560.6,23644.8,23644.9,-0.10000000000218279
45,NIFTY 50,30 Dec 2024,23796.9,23644.9,23813.4,-168.5
46,NIFTY 50,27 Dec 2024,23801.4,23813.4,23750.2,63.20000000000073
47,NIFTY 50,26 Dec 2024,23775.8,23750.2,23727.65,22.549999999999272
48,NIFTY 50,24 Dec 2024,23769.1,23727.65,23753.45,-25.799999999999272
49,NIFTY 50,23 Dec 2024,23738.2,23753.45,23587.5,165.95000000000073
50,NIFTY 50,20 Dec 2024,23960.7,23587.5,23951.7,-364.2000000000007
51,NIFTY 50,19 Dec 2024,23877.15,23951.7,24198.85,-247.14999999999782
52,NIFTY 50,18 Dec 2024,24297.95,24198.85,24336.0,-137.15000000000146
53,NIFTY 50,17 Dec 2024,24584.8,24336.0,24668.25,-332.25
54,NIFTY 50,16 Dec 2024,24753.4,24668.25,24768.3,-100.04999999999927
55,NIFTY 50,13 Dec 2024,24498.35,24768.3,24548.7,219.59999999999854
56,NIFTY 50,12 Dec 2024,24604.45,24548.7,24641.8,-93.09999999999854
57,NIFTY 50,11 Dec 2024,24620.5,24641.8,24610.05,31.75
58,NIFTY 50,10 Dec 2024,24652.65,24610.05,24619.0,-8.950000000000728
59,NIFTY 50,09 Dec 2024,24633.9,24619.0,24677.8,-58.79999999999927
60,NIFTY 50,06 Dec 2024,24729.45,24677.8,24708.4,-30.600000000002183
61,NIFTY 50,05 Dec 2024,24539.15,24708.4,24467.45,240.95000000000073
62,NIFTY 50,04 Dec 2024,24488.75,24467.45,24457.15,10.299999999999272
63,NIFTY 50,03 Dec 2024,24367.5,24457.15,24276.05,181.10000000000218
64,NIFTY 50,02 Dec 2024,24140.85,24276.05,24131.1,144.95000000000073
65,NIFTY 50,29 Nov 2024,23927.15,24131.1,23914.15,216.9499999999971
66,NIFTY 50,28 Nov 2024,24274.15,23914.15,24274.9,-360.75
67,NIFTY 50,27 Nov 2024,24204.8,24274.9,24194.5,80.40000000000146
68,NIFTY 50,26 Nov 2024,24343.3,24194.5,24221.9,-27.400000000001455
69,NIFTY 50,25 Nov 2024,24253.55,24221.9,23907.25,314.65000000000146
70,NIFTY 50,22 Nov 2024,23411.8,23907.25,23349.9,557.3499999999985
71,NIFTY 50,21 Nov 2024,23488.45,23349.9,23518.5,-168.59999999999854
72,NIFTY 50,19 Nov 2024,23529.55,23518.5,23453.8,64.70000000000073
73,NIFTY 50,18 Nov 2024,23605.3,23453.8,23532.7,-78.90000000000146
74,NIFTY 50,14 Nov 2024,23542.15,23532.7,23559.05,-26.349999999998545
75,NIFTY 50,13 Nov 2024,23822.45,23559.05,23883.45,-324.40000000000146
76,NIFTY 50,12 Nov 2024,24225.8,23883.45,24141.3,-257.84999999999854
77,NIFTY 50,11 Nov 2024,24087.25,24141.3,24148.2,-6.900000000001455
78,NIFTY 50,08 Nov 2024,24207.7,24148.2,24199.35,-51.14999999999782
79,NIFTY 50,07 Nov 2024,24489.6,24199.35,24484.05,-284.7000000000007
80,NIFTY 50,06 Nov 2024,24308.75,24484.05,24213.3,270.75
81,NIFTY 50,05 Nov 2024,23916.5,24213.3,23995.35,217.95000000000073
82,NIFTY 50,04 Nov 2024,24315.75,23995.35,24304.35,-309.0
83,NIFTY 50,01 Nov 2024,24302.75,24304.35,24205.35,99.0
84,NIFTY 50,31 Oct 2024,24349.85,24205.35,24340.85,-135.5
85,NIFTY 50,30 Oct 2024,24371.45,24340.85,24466.85,-126.0
86,NIFTY 50,29 Oct 2024,24328.85,24466.85,24339.15,127.69999999999709
87,NIFTY 50,28 Oct 2024,24251.1,24339.15,24180.8,158.35000000000218
